transaction_count,transaction_date,transaction_dow,transaction_year,transaction_month,transaction_quarter,transaction_week,transaction_doy,transaction_daynum,transaction_age,doy_avg,dow_avg,week_avg,month_avg,qt_avg
5892625,2013-07-09,2,2013,7,3,28,190,99,3 mons 8 days,14424636.000000000000,16805801.611111111111,13071085.818181818182,12401182.477272727273,14089389.022727272727
4369876,2013-07-10,3,2013,7,3,28,191,100,3 mons 9 days,11675744.000000000000,16523304.380281690141,13071085.818181818182,12401182.477272727273,14089389.022727272727
4750920,2013-07-12,5,2013,7,3,28,193,102,3 mons 11 days,12791591.500000000000,17438844.183098591549,13071085.818181818182,12401182.477272727273,14089389.022727272727
4368727,2013-07-13,6,2013,7,3,28,194,103,3 mons 12 days,11931722.500000000000,16582741.000000000000,13071085.818181818182,12401182.477272727273,14089389.022727272727
4224223,2013-07-15,1,2013,7,3,29,196,105,3 mons 14 days,10906222.500000000000,17280507.095890410959,11877645.454545454545,12401182.477272727273,14089389.022727272727
5505067,2013-07-16,2,2013,7,3,29,197,106,3 mons 15 days,13942303.500000000000,16805801.611111111111,11877645.454545454545,12401182.477272727273,14089389.022727272727
4439837,2013-07-18,4,2013,7,3,29,199,108,3 mons 17 days,11659771.500000000000,17245438.069444444444,11877645.454545454545,12401182.477272727273,14089389.022727272727
5872612,2013-07-19,5,2013,7,3,29,200,109,3 mons 18 days,14130731.000000000000,17438844.183098591549,11877645.454545454545,12401182.477272727273,14089389.022727272727
4245467,2013-07-20,6,2013,7,3,29,201,110,3 mons 19 days,11841816.000000000000,16582741.000000000000,11877645.454545454545,12401182.477272727273,14089389.022727272727
5692411,2013-07-21,7,2013,7,3,29,202,111,3 mons 20 days,14074451.000000000000,17050789.786666666667,11877645.454545454545,12401182.477272727273,14089389.022727272727
4315421,2013-07-22,1,2013,7,3,30,203,112,3 mons 21 days,11348151.000000000000,17280507.095890410959,12076152.500000000000,12401182.477272727273,14089389.022727272727
4346254,2013-07-23,2,2013,7,3,30,204,113,3 mons 22 days,11906819.500000000000,16805801.611111111111,12076152.500000000000,12401182.477272727273,14089389.022727272727
4409658,2013-07-25,4,2013,7,3,30,206,115,3 mons 24 days,11890816.500000000000,17245438.069444444444,12076152.500000000000,12401182.477272727273,14089389.022727272727
4450884,2013-07-26,5,2013,7,3,30,207,116,3 mons 25 days,12247293.500000000000,17438844.183098591549,12076152.500000000000,12401182.477272727273,14089389.022727272727
3518873,2013-07-28,7,2013,7,3,30,209,118,3 mons 27 days,9859544.500000000000,17050789.786666666667,12076152.500000000000,12401182.477272727273,14089389.022727272727
