i	date	DJIA-MINS
551	12/6/2006 10:26	12332.72
552	12/6/2006 10:29	12328.24
553	12/6/2006 10:32	12327.68
554	12/6/2006 10:34	12325.59
555	12/6/2006 10:37	12332.32
556	12/6/2006 10:40	12321.35
557	12/6/2006 10:42	12325.83
558	12/6/2006 10:48	12330.16
559	12/6/2006 10:50	12327.52
560	12/6/2006 10:55	12321.83
561	12/6/2006 10:56	12321.03
562	12/6/2006 10:59	12320.87
563	12/6/2006 11:02	12321.35
564	12/6/2006 11:03	12323.67
565	12/6/2006 11:09	12325.75
566	12/6/2006 11:11	12323.99
567	12/6/2006 11:16	12323.35
568	12/6/2006 11:18	12327.44
569	12/6/2006 11:24	12333.12
570	12/6/2006 11:26	12326.07
571	12/6/2006 11:32	12323.99
572	12/6/2006 11:33	12321.03
573	12/6/2006 11:39	12321.67
574	12/6/2006 11:40	12320.47
575	12/6/2006 11:46	12317.1
576	12/6/2006 11:48	12316.06
577	12/6/2006 11:51	12317.42
578	12/6/2006 11:54	12317.98
579	12/6/2006 11:55	12318.46
580	12/6/2006 11:58	12318.54
581	12/6/2006 12:01	12311.17
582	12/6/2006 12:03	12313.98
583	12/6/2006 12:08	12316.86
584	12/6/2006 12:10	12312.85
585	12/6/2006 12:13	12314.86
586	12/6/2006 12:16	12318.62
587	12/6/2006 12:18	12320.23
588	12/6/2006 12:23	12319.9
589	12/6/2006 12:25	12320.14
590	12/6/2006 12:27	12320.87
591	12/6/2006 12:31	12316.94
592	12/6/2006 12:32	12316.38
593	12/6/2006 12:38	12316.06
594	12/6/2006 12:40	12315.42
595	12/6/2006 12:45	12318.46
596	12/6/2006 12:47	12318.86
597	12/6/2006 12:50	12319.66
598	12/6/2006 12:53	12323.27
599	12/6/2006 12:54	12325.51
600	12/6/2006 13:00	12323.67
601	12/6/2006 13:02	12323.59
602	12/6/2006 13:04	12326.39
603	12/6/2006 13:08	12321.59
604	12/6/2006 13:09	12322.47
605	12/6/2006 13:16	12320.79
606	12/6/2006 13:17	12320.47
607	12/6/2006 13:24	12320.95
608	12/6/2006 13:26	12320.79
609	12/6/2006 13:32	12327.03
610	12/6/2006 13:34	12324.15
611	12/6/2006 13:40	12316.46
612	12/6/2006 13:42	12315.1
613	12/6/2006 13:48	12311.17
614	12/6/2006 13:50	12310.69
615	12/6/2006 13:55	12315.98
616	12/6/2006 13:57	12316.62
617	12/6/2006 14:03	12318.22
618	12/6/2006 14:05	12318.22
619	12/6/2006 14:11	12316.94
620	12/6/2006 14:12	12315.58
621	12/6/2006 14:14	12316.62
622	12/6/2006 14:18	12316.06
623	12/6/2006 14:19	12318.14
624	12/6/2006 14:25	12321.83
625	12/6/2006 14:27	12320.71
626	12/6/2006 14:32	12315.9
627	12/6/2006 14:34	12318.54
628	12/6/2006 14:41	12313.42
629	12/6/2006 14:43	12310.37
630	12/6/2006 14:48	12313.34
631	12/6/2006 14:50	12314.06
632	12/6/2006 14:56	12314.06
633	12/6/2006 14:58	12314.86
634	12/6/2006 15:04	12310.53
635	12/6/2006 15:06	12311.01
636	12/6/2006 15:12	12307.57
637	12/6/2006 15:14	12306.77
638	12/6/2006 15:20	12299.96
639	12/6/2006 15:21	12300.36
640	12/6/2006 15:27	12304.2
641	12/6/2006 15:29	12303.24
642	12/6/2006 15:35	12299
643	12/6/2006 15:37	12301.16
644	12/6/2006 15:43	12302.12
645	12/6/2006 15:44	12303.4
646	12/6/2006 15:50	12303.56
647	12/6/2006 15:52	12304.44
